Process information:
    PID TTY          TIME CMD
 146309 ?        00:00:00 kworker/6:2-mm_percpu_wq
 152404 ?        00:00:00 irq/140-mei_me
 152672 ?        00:00:01 gjs
 152724 ?        00:00:00 chrome
 152925 ?        00:00:05 chrome
 152994 ?        00:00:40 chrome
 153005 ?        00:00:07 chrome
 153670 ?        00:00:00 kworker/10:0-mm_percpu_wq
 153736 ?        00:00:00 kworker/10:1-cgroup_free
 154018 ?        00:00:00 kworker/2:2-events
 155000 ?        00:00:07 nautilus
 155065 ?        00:00:00 kworker/11:0
 155114 ?        00:00:02 code
 155129 ?        00:01:22 code
 155235 ?        00:02:05 code
 155362 ?        00:00:04 code
 155377 ?        00:00:41 code
 155409 pts/0    00:00:00 bash
 155712 pts/1    00:00:00 bash
 155885 ?        00:00:00 bash
 156379 ?        00:00:53 java
 156518 ?        00:00:00 kworker/8:0-cgroup_free
 156953 ?        00:00:00 kworker/9:0
 157194 ?        00:00:00 kworker/5:2-i915-unordered
 157363 ?        00:00:04 kworker/u48:1-events_unbound
 157383 ?        00:00:02 code
 157663 ?        00:00:00 kworker/0:0-events
 157700 ?        00:00:01 kworker/u49:3-rtw89_tx_wq
 157786 ?        00:00:03 kworker/u48:0-i915
 158220 ?        00:00:01 kworker/u49:2-rtw89_tx_wq
 158244 ?        00:00:08 code
 158298 ?        00:00:00 kworker/4:2-mm_percpu_wq
 158483 ?        00:01:28 chrome
 158530 ?        00:00:00 chrome
 158616 ?        00:00:00 kworker/u48:3-events_unbound
 158617 ?        00:00:02 kworker/u48:4-flush-259:0
 158769 ?        00:00:00 kworker/2:1
 158876 ?        00:00:00 code
 158936 ?        00:00:00 kworker/4:0-mm_percpu_wq
 158991 ?        00:00:00 kworker/7:0-cgroup_free
 159149 ?        00:00:00 kworker/u49:0-i915_flip
 159432 ?        00:00:00 kworker/0:1
 159485 ?        00:00:00 kworker/5:0
 159711 ?        00:00:00 kworker/10:2
 159833 ?        00:00:00 kworker/8:1-events
 159854 ?        00:00:00 kworker/u49:1-rtw89_tx_wq
 159869 ?        00:00:00 kworker/7:1-mm_percpu_wq
 159956 pts/1    00:00:00 bash
 159960 pts/1    00:00:00 ps
